Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.018645668785555642
105,0.004101124516097062
120,0.02063115768987249
135,0.0024616461308874945
150,0.009403898861831489
165,0.008823513745548076
180,0.018881002739432405
195,0.012346466327189203
210,0.006001306140098546
225,0.009746050242031868
240,0.010854643916458377
255,0.003646378402114973
270,0.0
285,0.003395289023386196
300,0.012571647695110226
315,0.007364552042935518
330,0.009954924438604178
345,0.0031459128691841685
360,0.012475209946519062
375,0.0034038791244360334
390,0.009797250114113554
405,0.006998870869531946
420,0.002815458078121576
435,0.005738563387099978
450,0.0027596304986508445
465,0.0
480,0.0
495,0.0
