Server,Container,Pearson_Coefficient,P-Value
gl2,home-timeline-redis,0.9999999999999999,0.0
gl2,nginx,1.0,0.0
gl2,jaeger-agent,1.0,0.0
gl2,post-storage-service,1.0,0.0
gl5,cassandra,1.0,0.0
gl5,home-timeline-service,1.0,0.0
gl5,media-memcached,0.9999999999999999,0.0
gl5,media-mongodb,0.9999999999999999,0.0
gl5,social-graph-mongodb,1.0,0.0
gl5,social-graph-service,1.0,0.0
gl5,url-shorten-mongodb,1.0,0.0
gl5,user-mongodb,0.9999999999999999,0.0
gl5,user-timeline-redis,1.0,0.0
gl6,post-storage-mongodb,1.0,0.0
gl6,social-graph-redis,0.9999999999999998,3.2025523416412997e-247
gl6,user-memcached,1.0,0.0
gl6,user-service,0.9999999999999999,0.0
gl6,user-timeline-mongodb,1.0,0.0
gl2,,1.0,0.0
gl5,,0.9989869200870174,1.1211029327049986e-44
gl6,,0.9987174821569211,4.8700616396614744e-43
