Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,0.0712309730585425,0.03647025820597376
105,0.0643293162054046,0.03293660989716715
120,0.0276308707215962,0.014147005809457255
135,0.118943114738245,0.060898874745981435
150,0.1192528222697631,0.06105744500211871
165,0.0930191184228886,0.04762578863251896
180,0.0645658492903035,0.033057714836635395
195,0.1066977070478569,0.05462922600850273
210,0.0854868910944784,0.04376928824037295
225,0.0700173079369728,0.035848861663730074
240,0.1200111127393963,0.06144568972257091
255,0.0569347356722325,0.02915058466418304
270,0.0920988223486374,0.04715459704250235
285,0.0641988098181422,0.03286979062688881
300,0.0629404225814359,0.03222549636169518
315,0.0852853785102421,0.04366611379724395
330,0.0766122652057561,0.03922547978534713
345,0.092520072781231,0.047370277263990276
360,0.0574786208137691,0.02942905385664978
375,0.0635718247390039,0.03254877426637
390,0.12683970091315,0.06494192686753279
405,0.0561750264617369,0.028761613548409296
420,0.0431444056924177,0.022089935714517867
435,0.0280164467967925,0.01434442075995776
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
