Time (s),power_consumption
0,41.19590171552943
15,41.18927034302485
30,46.9138201069585
45,43.43277998386989
60,47.78729759819985
75,44.76950984107337
90,84.6069255530234
105,83.66042052347979
120,81.46853000794849
135,88.74415161581916
150,90.65415166017748
165,83.87680143663385
180,89.0012603242328
195,87.24168757593225
210,86.36345116698003
225,89.99314108603267
240,76.32205139924187
255,84.33819559820397
270,89.47686191591285
285,86.43792061208461
300,78.19186343267624
315,84.86389453901356
330,88.75430766426345
345,83.94507310331605
360,69.16168493240139
375,67.35160793896242
390,70.33830390031015
405,64.8963636489845
420,47.419984316654364
435,41.229059792596374
450,38.84172632289068
465,38.21513490280438
480,38.13129528577706
495,38.26948650481908
