Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,0.0,0.0
105,0.0,0.0
120,0.0,0.0
135,0.0,0.0
150,0.0,0.0
165,0.0,0.0
180,0.0012518631008844,0.0014396425660170601
195,0.001310785805702,0.0015074036765573
210,0.0,0.0
225,0.0,0.0
240,0.0014288829649272,0.00164321540966628
255,0.0,0.0
270,0.0,0.0
285,0.0,0.0
300,0.0014327761449218,0.0016476925666600699
315,0.0,0.0
330,0.0028378977875324,0.0032635824556622598
345,0.0,0.0
360,0.0,0.0
375,0.0,0.0
390,0.0,0.0
405,0.0,0.0
420,0.0,0.0
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
