Time (s),CPU Utilization (%),power_consumption
0,0.0122154970846906,0.01404782164739419
15,0.0177136710632742,0.020370721722765328
30,0.0150243765836304,0.01727803307117496
45,0.0122734649788728,0.01411448472570372
60,0.0107588239370758,0.01237264752763717
75,0.0096571512800651,0.011105723972074865
90,0.0131545253498386,0.015127704152314389
105,0.014743984743809,0.01695558245538035
120,0.0122489142391406,0.01408625137501169
135,0.0070108690855626,0.00806249944839699
150,0.0119080080158288,0.01369420921820312
165,0.0120833689866195,0.013895874334612425
180,0.0081528673715787,0.009375797477315505
195,0.0122476439027954,0.014084790488214708
210,0.0121486743636321,0.013970975518176915
225,0.0104195821183116,0.01198251943605834
240,0.0104373480948362,0.01200295030906163
255,0.0106846171886565,0.012287309766954975
270,0.0051404182658161,0.005911481005688515
285,0.0177334355869253,0.020393450924964092
300,0.0096250175660092,0.011068770200910578
315,0.0136433473985593,0.015689849508343196
330,0.006844015588079,0.00787061792629085
345,0.0068334260595979,0.007858439968537585
360,0.0187148763117095,0.021522107758465924
375,0.0053130899063472,0.00611005339229928
390,0.005522637083077,0.00635103264553855
405,0.0135074979311629,0.015533622620837335
420,0.0,0.0
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
