Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,7.555950489558641,8.689343062992437
105,7.324943580436054,8.423685117501462
120,6.568234101955409,7.55346921724872
135,6.02600983922515,6.929911315108923
150,5.83437216119981,6.709527985379782
165,5.039297556495152,5.795192189969424
180,7.396623852464595,8.506117430334285
195,5.632741836434104,6.477653111899221
210,5.14441846514888,5.916081234921212
225,7.344712093659181,8.446418907708058
240,4.135579137778712,4.755916008445518
255,5.207503100523376,5.988628565601883
270,5.117043122980135,5.884599591427156
285,6.359420871261648,7.313334001950895
300,5.767602306458384,6.632742652427141
315,5.387144100201131,6.195215715231301
330,4.536783639402015,5.217301185312317
345,5.074934248498125,5.836174385772844
360,5.941023060449407,6.832176519516818
375,6.504646126736105,7.480343045746521
390,7.587495988162408,8.725620386386769
405,5.888571420061874,6.771857133071156
420,0.2420699307012589,0.2783804203064477
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
