Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,5.695329834317747,6.549629309465409
105,5.49910867289057,6.323974973824154
120,4.018529110430144,4.621308476994666
135,8.311953340452778,9.558746341520695
150,5.462018489713059,6.2813212631700175
165,4.578457205981593,5.2652257868788315
180,6.72241774442773,7.73078040609189
195,4.712240929633567,5.419077069078602
210,4.9404779590677235,5.681549652927882
225,5.809427562548165,6.680841696930389
240,2.6230590069402457,3.016517857981283
255,4.324600932690993,4.973291072594642
270,6.397171519766221,7.356747247731155
285,5.323158803506194,6.121632624032124
300,4.595731097945887,5.28509076263777
315,4.9642449631195715,5.708881707587507
330,6.519155244009008,7.497028530610359
345,5.311153589383536,6.1078266277910656
360,7.242387143217716,8.328745214700373
375,4.710852851809014,5.417480779580366
390,4.294149320948444,4.938271719090711
405,4.869211858387313,5.59959363714541
420,0.1967999181060174,0.22631990582192002
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
