Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0005
15,0.0,0.0005
30,0.0,0.0005
45,0.0,0.0005
60,0.0,0.0005
75,0.0,0.0005
90,0.2415917685322849,0.27977887646447863
105,0.2336760929265392,0.2706283950426147
120,0.2162885174269367,0.25052844470295166
135,0.1900051750744081,0.22014503236014035
150,0.2264530427759412,0.2622785851837741
165,0.234944230140835,0.27209435532165455
180,0.2096193094606029,0.24281887363990962
195,0.210728471202414,0.24410105906763457
210,0.2066699840999896,0.23940946826966747
225,0.1861696649115071,0.21571120178937764
240,0.200977926082837,0.23282947766212914
255,0.2152208032057219,0.24929417240179846
270,0.223617074510016,0.25900022004820594
285,0.2382956479624012,0.275968577566296
300,0.2460254621066294,0.284904204067953
315,0.2380134715883078,0.27564238308872585
330,0.2707821625531154,0.3135228260005886
345,0.2166581748598268,0.2509557668470854
360,0.2100297924988238,0.2432933899796778
375,0.2426729542871139,0.2810287217911322
390,0.2131544257677362,0.2469054504153742
405,0.2053642080864716,0.23789999772692072
420,0.1647931934893458,0.19100010770771628
435,0.0446967487588442,0.0521692180814801
450,0.0573554274396587,0.06680258734310826
465,0.0049998443949233,0.00627979512130936
480,0.0,0.0005
495,0.0473981133776738,0.05529198207402402
