Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0005
15,0.0589459018948722,0.06864116786096279
30,0.0205355340812958,0.02423897472030754
45,0.0987372995115694,0.11463982454887667
60,0.0402350387565844,0.04701150362741778
75,0.0384400996209119,0.044936562961276044
90,0.2939558510409569,0.34031149402409094
105,0.2924671141265564,0.3385905215947286
120,0.3754913070832164,0.4345660735316627
135,0.2783956143517863,0.32232393821259314
150,0.2596755052974271,0.3006835857462993
165,0.2953153594209209,0.34188307891378744
180,0.196581923389818,0.22774772052901265
195,0.278730688261045,0.3227112819763267
210,0.2580440022742201,0.298797576408987
225,0.2941344610647591,0.3405179663185562
240,0.296703681866574,0.34348797271935017
255,0.3397632491174319,0.39326461716350564
270,0.3324834911817724,0.38484925338867293
285,0.1974762117801469,0.22878151343679093
300,0.2567189944997923,0.2972658740467874
315,0.1982623994426338,0.22969034244368744
330,0.2006339392946575,0.23243183065492762
345,0.2603363712969359,0.3014475435374014
360,0.2135920165434053,0.2474113031640938
375,0.3406446814565698,0.3942835485403874
390,0.2360888323046845,0.27341750970005374
405,0.2376174722069924,0.2751846097839221
420,0.2954913644366849,0.3420865398319855
435,0.097508126663152,0.1132189068819704
450,0.1190590417218237,0.1381316569352196
465,0.219506777503231,0.2542487372598475
480,0.2606294750987132,0.301786370066737
495,0.0,0.0005
