Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0005
15,0.0,0.0005
30,0.0,0.0005
45,0.0,0.0005
60,0.0,0.0005
75,0.0,0.0005
90,1.348337512876251,1.5591714231973817
105,1.1126884187578296,1.2867622486419572
120,1.2502026273674711,1.4457279862236596
135,0.9785934386900748,1.1317491221585327
150,1.070102072915835,1.2375326457803406
165,1.0855965273726655,1.2554441576601643
180,1.4475831130755472,1.673898840799767
195,1.3561038200358342,1.568149235442324
210,1.3521828791074963,1.5636166473338702
225,1.0497190886052117,1.2139700178321815
240,1.1660619230374183,1.34846175272164
255,1.1917929292726763,1.3782066672745674
270,1.2257571076734657,1.4174690876849878
285,1.3281939705065964,1.5358855889357728
300,0.9706291707432498,1.122542468233343
315,1.3077696356651054,1.5122751599806834
330,0.9903880626274144,1.1453836484569777
345,0.9259982284994952,1.0709493221542736
360,0.8892255954679126,1.0284403422329293
375,1.1515815718549185,1.3317225391564262
390,1.2507693962655868,1.4463831682360369
405,1.1609183073778346,1.3425157587372398
420,0.0786946646443629,0.09147063885556028
435,0.0,0.0005
450,0.0,0.0005
465,0.0,0.0005
480,0.0,0.0005
495,0.0,0.0005
