Time,Watts
18:20:05,37.01
18:20:20,36.63
18:20:35,37.87
18:20:50,38.11
18:21:05,37.77
18:21:20,44.04
18:21:35,44.36
18:21:50,45.18
18:22:05,44.93
18:22:20,46.95
18:22:35,47.82
18:22:50,48.65
18:23:05,44.37
18:23:20,44.78
18:23:35,44.82
18:23:50,45.12
18:24:05,44.58
18:24:20,43.95
18:24:35,46.83
18:24:50,45.99
18:25:05,49.18
18:25:20,46.45
18:25:35,44.02
18:25:50,44.68
18:26:05,44.86
18:26:20,41.85
18:26:35,36.76
18:26:50,38.72
18:27:05,36.61
18:27:20,37.16
18:27:35,38.97
18:27:50,41.98
18:28:05,42.05
18:28:20,37.30
18:28:35,37.49
18:28:50,37.61
18:29:05,38.33
18:29:20,39.93
18:29:35,42.90
18:29:50,47.33
18:30:05,45.28
18:30:20,45.65
