Time,CPU,user,nice,system,iowait,steal,idle,cpu_utilization
18:20:05,all,0.83,0.0,1.02,0.0,0.0,98.14,1.86
18:20:20,all,0.84,0.0,0.89,0.0,0.0,98.28,1.72
18:20:35,all,1.18,0.0,1.32,0.0,0.0,97.5,2.5
18:20:50,all,1.35,0.0,1.9,0.0,0.0,96.76,3.24
18:21:05,all,1.2,0.0,1.38,0.0,0.0,97.42,2.58
18:21:20,all,2.48,0.0,2.76,0.0,0.0,94.77,5.23
18:21:35,all,2.64,0.0,3.82,0.0,0.0,93.54,6.46
18:21:50,all,3.18,0.0,4.94,0.0,0.0,91.87,8.13
18:22:05,all,2.79,0.0,4.86,0.0,0.0,92.35,7.65
18:22:20,all,3.37,0.0,4.5,0.0,0.0,92.13,7.87
18:22:35,all,3.47,0.0,4.36,0.0,0.0,92.17,7.83
18:22:50,all,3.65,0.0,4.35,0.0,0.0,92.0,8.0
18:23:05,all,2.72,0.0,4.23,0.0,0.0,93.05,6.95
18:23:20,all,2.89,0.0,4.71,0.0,0.0,92.41,7.59
18:23:35,all,2.97,0.0,4.8,0.0,0.0,92.22,7.78
18:23:50,all,3.28,0.0,5.07,0.0,0.0,91.65,8.35
18:24:05,all,2.93,0.0,4.7,0.0,0.0,92.37,7.63
18:24:20,all,2.63,0.0,4.27,0.0,0.0,93.1,6.9
18:24:35,all,3.46,0.0,4.96,0.0,0.0,91.58,8.42
18:24:50,all,3.05,0.0,4.19,0.0,0.0,92.76,7.24
18:25:05,all,3.8,0.0,4.44,0.0,0.0,91.75,8.25
18:25:20,all,3.6,0.0,5.05,0.0,0.0,91.35,8.65
18:25:35,all,2.49,0.0,4.29,0.0,0.0,93.22,6.78
18:25:50,all,2.98,0.0,4.75,0.01,0.0,92.26,7.74
18:26:05,all,2.8,0.0,4.88,0.0,0.0,92.32,7.68
18:26:20,all,1.97,0.0,3.43,0.0,0.0,94.6,5.4
18:26:35,all,0.86,0.0,0.74,0.0,0.0,98.39,1.61
18:26:50,all,1.17,0.0,1.01,0.0,0.0,97.81,2.19
18:27:05,all,0.86,0.0,0.97,0.0,0.0,98.17,1.83
18:27:20,all,1.09,0.0,1.32,0.0,0.0,97.58,2.42
18:27:35,all,1.22,0.0,0.88,0.0,0.0,97.89,2.11
18:27:50,all,1.9,0.0,1.16,0.0,0.0,96.94,3.06
18:28:05,all,1.92,0.0,1.19,0.0,0.0,96.89,3.11
18:28:20,all,1.15,0.0,1.44,0.0,0.0,97.41,2.59
18:28:35,all,1.11,0.0,1.4,0.0,0.0,97.49,2.51
18:28:50,all,1.22,0.0,1.6,0.0,0.0,97.18,2.82
18:29:05,all,1.4,0.0,1.83,0.01,0.0,96.76,3.24
18:29:20,all,1.68,0.0,2.31,0.0,0.0,96.02,3.98
18:29:35,all,2.26,0.0,3.46,0.0,0.0,94.27,5.73
18:29:50,all,3.47,0.0,3.89,0.0,0.0,92.63,7.37
18:30:05,all,2.86,0.0,3.59,0.0,0.0,93.55,6.45
18:30:20,all,2.97,0.0,3.76,0.0,0.0,93.27,6.73
